date,product_category_name,demanda_real,demanda_prevista,erro,erro_absoluto,cenario,modelo
2018-06-01,automotivo,295,333.6470874994193,-38.647087499419285,38.647087499419285,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,automotivo,341,321.8226493645744,19.177350635425626,19.177350635425626,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,automotivo,370,323.5380306670209,46.461969332979095,46.461969332979095,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,bebes,223,239.47999852458162,-16.479998524581617,16.479998524581617,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,bebes,214,247.62931791779076,-33.62931791779076,33.62931791779076,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,bebes,212,248.76515476999734,-36.76515476999734,36.76515476999734,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,beleza_saude,875,648.865480884748,226.13451911525203,226.13451911525203,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,beleza_saude,770,726.5986315017316,43.401368498268425,43.401368498268425,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,beleza_saude,835,841.8994380744382,-6.899438074438194,6.899438074438194,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,brinquedos,190,225.9477405007121,-35.94774050071209,35.94774050071209,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,brinquedos,154,232.27179057046308,-78.27179057046308,78.27179057046308,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,brinquedos,165,182.76266940726666,-17.762669407266657,17.762669407266657,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,cama_mesa_banho,764,602.2687176272623,161.73128237273772,161.73128237273772,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,cama_mesa_banho,617,667.4276753376442,-50.427675337644246,50.427675337644246,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,cama_mesa_banho,655,647.9571488468937,7.042851153106312,7.042851153106312,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,categoria_desconhecida,23,86.40868876707034,-63.408688767070345,63.408688767070345,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,categoria_desconhecida,47,65.40621769112448,-18.406217691124482,18.406217691124482,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,categoria_desconhecida,31,66.54205454333106,-35.54205454333106,35.54205454333106,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,consoles_games,43,38.884764588634965,4.115235411365035,4.115235411365035,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,consoles_games,49,53.86283376344907,-4.862833763449068,4.862833763449068,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,consoles_games,59,71.62730560101708,-12.627305601017085,12.627305601017085,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,cool_stuff,103,209.89647896163376,-106.89647896163376,106.89647896163376,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,cool_stuff,115,164.94096890983613,-49.94096890983613,49.94096890983613,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,cool_stuff,119,149.25181293915716,-30.251812939157162,30.251812939157162,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,eletronicos,191,239.47999852458162,-48.47999852458162,48.47999852458162,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,eletronicos,151,232.27179057046308,-81.27179057046308,81.27179057046308,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,eletronicos,119,178.2641604402116,-59.26416044021161,59.26416044021161,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,esporte_lazer,419,552.1759419226591,-133.17594192265915,133.17594192265915,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,esporte_lazer,460,509.6611438798117,-49.661143879811675,49.661143879811675,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,esporte_lazer,471,547.7170600127478,-76.71706001274777,76.71706001274777,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,fashion_bolsas_e_acessorios,87,120.70185626079369,-33.70185626079369,33.70185626079369,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,fashion_bolsas_e_acessorios,74,105.64757681726076,-31.647576817260756,31.647576817260756,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,fashion_bolsas_e_acessorios,126,84.46585500450172,41.53414499549828,41.53414499549828,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,ferramentas_jardim,184,281.9773280984644,-97.9773280984644,97.9773280984644,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,ferramentas_jardim,177,249.60408236084143,-72.60408236084143,72.60408236084143,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,ferramentas_jardim,136,235.99752176357927,-99.99752176357927,99.99752176357927,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,informatica_acessorios,401,626.6720130325647,-225.67201303256468,225.67201303256468,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,informatica_acessorios,418,596.0453399814,-178.04533998140005,178.04533998140005,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,informatica_acessorios,415,577.1588027878746,-162.1588027878746,162.1588027878746,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,malas_acessorios,36,51.743334213580845,-15.743334213580845,15.743334213580845,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,malas_acessorios,54,60.63491306834507,-6.634913068345071,6.634913068345071,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,malas_acessorios,64,62.25981115996221,1.7401888400377885,1.7401888400377885,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,moveis_decoracao,402,555.2926082006963,-153.29260820069635,153.29260820069635,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,moveis_decoracao,436,594.4295712262463,-158.42957122624625,158.42957122624625,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,moveis_decoracao,430,544.5413308013967,-114.54133080139673,114.54133080139673,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,moveis_escritorio,76,105.33186176160832,-29.331861761608323,29.331861761608323,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,moveis_escritorio,80,98.337908597174,-18.337908597174007,18.337908597174007,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,moveis_escritorio,30,99.7460678930739,-69.7460678930739,69.7460678930739,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,outras,897,858.9500188611427,38.04998113885733,38.04998113885733,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,outras,953,860.8436507571006,92.15634924289941,92.15634924289941,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,outras,1022,1027.6000388204059,-5.600038820405871,5.600038820405871,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,papelaria,167,142.39327355415614,24.60672644584386,24.60672644584386,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,papelaria,190,180.4195688754472,9.580431124552803,9.580431124552803,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,papelaria,169,233.40762742266966,-64.40762742266966,64.40762742266966,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,perfumaria,186,214.40530858804908,-28.40530858804908,28.40530858804908,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,perfumaria,199,225.32690184672072,-26.326901846720716,26.326901846720716,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,perfumaria,218,226.98939469513573,-8.98939469513573,8.98939469513573,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,pet_shop,178,160.18443176655552,17.81556823344448,17.81556823344448,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,pet_shop,158,194.0350549894554,-36.0350549894554,36.0350549894554,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,pet_shop,198,178.2641604402116,19.73583955978839,19.73583955978839,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,relogios_presentes,477,640.6706773397085,-163.6706773397085,163.6706773397085,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,relogios_presentes,521,648.7440314931413,-127.74403149314128,127.74403149314128,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,relogios_presentes,411,613.7389784137297,-202.73897841372968,202.73897841372968,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,telefonia,216,257.65996749117755,-41.659967491177554,41.659967491177554,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,telefonia,221,247.62931791779076,-26.629317917790758,26.629317917790758,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,telefonia,271,248.76515476999734,22.234845230002662,22.234845230002662,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-06-01,utilidades_domesticas,577,676.196012650083,-99.19601265008305,99.19601265008305,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-07-01,utilidades_domesticas,564,590.6370231617824,-26.637023161782395,26.637023161782395,Com Pareto (categorias + 'outras'),Gradient Boosting
2018-08-01,utilidades_domesticas,616,557.4994482312535,58.500551768746504,58.500551768746504,Com Pareto (categorias + 'outras'),Gradient Boosting
